cell_line,condition,n_cells
jurkat,DDX55,385
jurkat,DDX59,44
jurkat,DENR,52
jurkat,DEPDC5,100
jurkat,DGCR8,36
jurkat,DHPS,55
jurkat,DHX16,81
jurkat,DHX29,35
jurkat,DHX33,113
jurkat,DHX36,106
jurkat,DHX37,131
jurkat,DHX8,105
jurkat,DHX9,56
jurkat,DIS3,49
jurkat,DKC1,91
jurkat,DLD,47
jurkat,DMAP1,33
jurkat,DNAJC17,79
jurkat,DNAJC8,124
jurkat,DNM1L,41
jurkat,DNMT1,155
jurkat,DNTTIP2,65
jurkat,DPAGT1,90
jurkat,DPM2,81
jurkat,DPY19L4,167
jurkat,DR1,55
jurkat,DSTYK,247
jurkat,DTL,25
jurkat,DUT,31
jurkat,DYNC1H1,15
jurkat,DYNC1I2,39
jurkat,DYNLL2,159
jurkat,EBNA1BP2,36
jurkat,EDC4,129
jurkat,EEF2,98
jurkat,EEFSEC,52
jurkat,EFR3A,99
jurkat,EHMT2,116
jurkat,EIF1AD,67
jurkat,EIF2B1,249
jurkat,EIF2B5,126
jurkat,EIF2S1,28
jurkat,EIF2S2,25
jurkat,EIF2S3,24
jurkat,EIF3B,124
jurkat,EIF3D,48
jurkat,EIF3E,33
jurkat,EIF3I,61
jurkat,EIF3J,82
jurkat,EIF3L,137
jurkat,EIF3M,90
jurkat,EIF4A1,60
jurkat,EIF4E,53
jurkat,EIF4G2,109
jurkat,EIF4H,117
jurkat,EIF5,32
jurkat,EIF6,114
jurkat,ELL,89
jurkat,ELOB,185
jurkat,ELOF1,158
jurkat,ELP2,95
jurkat,ELP6,94
jurkat,EMC7,63
jurkat,EMG1,41
jurkat,ENO1,63
jurkat,ENY2,94
jurkat,ERCC2,89
jurkat,ESF1,193
jurkat,ESYT1,99
jurkat,ESYT2,56
jurkat,ETF1,40
jurkat,EXOC3,51
jurkat,EXOC4,44
jurkat,EXOC5,96
jurkat,EXOC7,90
jurkat,EXOC8,56
jurkat,EXOSC1,78
jurkat,EXOSC10,53
jurkat,EXOSC2,114
jurkat,EXOSC3,117
jurkat,EXOSC7,67
jurkat,FAM133B,45
jurkat,FAM136A,462
jurkat,FAM32A,27
jurkat,FARSA,128
jurkat,FASN,29
jurkat,FBL,42
jurkat,FBXW7,106
jurkat,FNBP4,248
jurkat,FTSJ3,42
jurkat,FUNDC2,66
jurkat,FXN,52
jurkat,FYN,214
jurkat,GABPB1,93
jurkat,GARS,99
jurkat,GART,15
jurkat,GEMIN4,112
jurkat,GEMIN6,69
jurkat,GEMIN7,34
jurkat,GEMIN8,57
jurkat,GFER,110
jurkat,GFM1,1353
jurkat,GFOD2,216
jurkat,GINS2,155
jurkat,GINS3,69
jurkat,GLB1,107
jurkat,GLE1,27
jurkat,GLRX3,60
jurkat,GLRX5,185
jurkat,GMPS,38
jurkat,GNL3,123
jurkat,GNL3L,69
jurkat,GNPAT,35
jurkat,GPN1,50
jurkat,GPN2,53
jurkat,GPN3,179
jurkat,GRSF1,96
jurkat,GRWD1,116
jurkat,GSK3B,56
jurkat,GTF2B,43
jurkat,GTF2E1,65
jurkat,GTF2F1,41
jurkat,GTF2F2,117
jurkat,GTF2H2,69
jurkat,GTF2H3,92
jurkat,GTF3A,54
jurkat,GTF3C2,72
jurkat,GTF3C4,1160
jurkat,GTF3C5,80
jurkat,GYG1,179
jurkat,H2AFZ,217
jurkat,HARS2,27
jurkat,HAUS5,27
jurkat,HAUS6,25
jurkat,HBS1L,47
jurkat,HEATR1,77
jurkat,HECTD1,102
jurkat,HERC1,131
jurkat,HEXIM1,64
jurkat,HGS,29
jurkat,HIPK1,94
jurkat,HMBOX1,64
jurkat,HMGA1,59
jurkat,HMGB3,68
jurkat,HMGCS1,126
jurkat,HMGN2,51
jurkat,HMX3,171
jurkat,HNRNPDL,49
jurkat,HNRNPH1,41
jurkat,HNRNPK,24
jurkat,HNRNPM,73
jurkat,HNRNPR,64
jurkat,HPS5,61
jurkat,HSCB,319
jurkat,HSD17B10,639
jurkat,HSPA14,146
jurkat,HSPA9,47
jurkat,HSPE1,149
jurkat,HSPH1,66
jurkat,HTATSF1,75
jurkat,HYOU1,55
jurkat,IARS,55
jurkat,ICE1,40
jurkat,IFITM2,55
jurkat,IGBP1,68
jurkat,ILF2,76
jurkat,IMPA2,75
jurkat,IMPDH2,97
jurkat,INF2,99
jurkat,ING3,223
jurkat,INO80B,125
jurkat,INO80C,183
jurkat,INTS10,89
jurkat,INTS11,70
jurkat,INTS13,301
jurkat,INTS3,87
jurkat,INTS4,64
jurkat,INTS9,144
jurkat,IPO11,93
jurkat,IPO7,122
jurkat,IPO9,137
jurkat,ISCA2,127
jurkat,ISG20L2,79
jurkat,IST1,122
jurkat,ISY1,24
jurkat,KANSL1,60
jurkat,KARS,39
jurkat,KAT8,94
jurkat,KCMF1,85
jurkat,KDM1A,185
jurkat,KDM2A,41
jurkat,KIAA0586,62
jurkat,KIF14,28
jurkat,KIF18A,47
jurkat,KIF18B,88
jurkat,KIF20A,35
jurkat,KRI1,165
jurkat,KRR1,83
jurkat,LAMTOR1,274
jurkat,LAMTOR3,78
jurkat,LARS2,112
jurkat,LAS1L,150
jurkat,LDB1,138
jurkat,LETM1,150
jurkat,LRP5,89
jurkat,LRRC37B,95
jurkat,LSG1,162
jurkat,LSM12,99
jurkat,LSM3,116
jurkat,LSM4,34
jurkat,LSM5,61
jurkat,LSM6,50
jurkat,LSM7,67
jurkat,LYRM4,36
jurkat,MAD2L1,51
jurkat,MAK16,51
jurkat,MALSU1,88
jurkat,MAP2K7,28
jurkat,MARS,74
jurkat,MASTL,54
jurkat,MAX,73
jurkat,MBD3,168
jurkat,MBIP,70
jurkat,MBNL1,161
jurkat,MBTPS1,182
jurkat,MCM2,111
jurkat,MCM3,284
jurkat,MCM3AP,25
jurkat,MCM4,37
jurkat,MCM6,324
jurkat,MED10,41
jurkat,MED11,93
jurkat,MED16,55
jurkat,MED17,31
jurkat,MED18,79
jurkat,MED19,257
jurkat,MED22,57
jurkat,MED24,43
jurkat,MED26,82
jurkat,MED27,35
jurkat,MED28,34
jurkat,MED29,38
jurkat,MED30,92
jurkat,MED4,194
jurkat,MEN1,90
jurkat,METAP2,62
jurkat,MICOS10,135
jurkat,MIOS,130
jurkat,MIS12,30
jurkat,MLST8,59
jurkat,MMS19,114
jurkat,MNAT1,141
jurkat,MPG,63
jurkat,MPHOSPH10,137
jurkat,MRGBP,167
jurkat,MRPL13,50
jurkat,MRPL14,75
jurkat,MRPL15,85
jurkat,MRPL17,69
jurkat,MRPL18,63
jurkat,MRPL28,103
jurkat,MRPL3,133
jurkat,MRPL34,689
jurkat,MRPL36,1095
jurkat,MRPL37,71
jurkat,MRPL38,122
jurkat,MRPL41,139
jurkat,MRPL42,87
jurkat,MRPL43,47
jurkat,MRPL44,74
jurkat,MRPL46,82
jurkat,MRPL51,36
jurkat,MRPS11,92
jurkat,MRPS12,49
jurkat,MRPS14,26
jurkat,MRPS16,144
jurkat,MRPS17,96
jurkat,MRPS2,51
jurkat,MRPS21,175
jurkat,MRPS22,68
jurkat,MRPS23,65
jurkat,MRPS31,55
jurkat,MRPS33,64
jurkat,MRPS35,98
jurkat,MRPS6,150
jurkat,MRPS7,80
jurkat,MRPS9,107
jurkat,MRTO4,56
jurkat,MTBP,276
jurkat,MTG2,176
jurkat,MTHFD1,66
jurkat,MYBBP1A,100
jurkat,MYSM1,115
jurkat,MZT1,21
jurkat,NAA10,113
jurkat,NAA20,101
jurkat,NAA35,232
jurkat,NAA50,60
jurkat,NACA,67
jurkat,NAF1,181
jurkat,NAPA,42
jurkat,NAT10,32
jurkat,NCAPG,20
jurkat,NCAPH2,159
jurkat,NCBP1,45
jurkat,NCBP2,50
jurkat,NDUFA3,133
jurkat,NDUFA8,47
jurkat,NDUFAF5,29
jurkat,NDUFAF7,42
jurkat,NDUFB4,122
jurkat,NDUFB7,58
jurkat,NDUFB8,79
jurkat,NDUFS3,80
jurkat,NELFA,126
jurkat,NELFCD,115
jurkat,NFRKB,168
jurkat,NFS1,27
jurkat,NHP2,121
jurkat,NKAPD1,143
jurkat,NOC2L,47
jurkat,NOC3L,172
jurkat,NOL11,139
jurkat,NOL12,121
jurkat,NOL8,193
jurkat,NOL9,53
jurkat,NOP9,167
jurkat,NR2C2AP,56
jurkat,NRBP1,80
jurkat,NUB1,124
jurkat,NUBP1,26
jurkat,NUBP2,115
jurkat,NUF2,23
jurkat,NUP133,30
jurkat,NUP35,92
jurkat,NUP43,66
jurkat,NUP54,24
jurkat,NUP85,38
jurkat,OGFOD1,65
jurkat,ORC1,37
jurkat,ORC3,56
jurkat,ORC6,39
jurkat,OSGEP,112
jurkat,OSTC,81
jurkat,OXA1L,49
jurkat,PABPC1,39
jurkat,PABPC4,118
jurkat,PABPN1,24
jurkat,PAF1,48
jurkat,PAK1IP1,43
jurkat,PAM16,68
jurkat,PAXBP1,117
jurkat,PCBP2,183
jurkat,PCID2,94
jurkat,PCM1,31
jurkat,PDAP1,64
jurkat,PDCD2,108
jurkat,PDCD7,34
jurkat,PDRG1,32
jurkat,PEF1,54
jurkat,PELP1,156
jurkat,PET117,149
jurkat,PEX1,34
jurkat,PFDN1,55
jurkat,PFDN2,50
jurkat,PFDN5,42
jurkat,PFDN6,30
jurkat,PGAM1,147
jurkat,PGAM5,90
jurkat,PGD,77
jurkat,PGK1,100
jurkat,PHAX,142
jurkat,PHB2,27
jurkat,PHF10,121
jurkat,PI4KA,167
jurkat,PIGH,55
jurkat,PMPCB,242
jurkat,PNN,71
jurkat,PNO1,107
jurkat,POLD2,64
jurkat,POLD3,74
jurkat,POLR1B,48
jurkat,POLR1D,64
jurkat,POLR2F,33
jurkat,POLR2I,82
jurkat,POLR2L,25
jurkat,POLR2M,105
jurkat,POLR3D,38
jurkat,POLR3E,76
jurkat,POLR3F,41
jurkat,POLR3H,50
jurkat,POLRMT,186
jurkat,POP4,124
jurkat,POP5,195
jurkat,POP7,109
jurkat,PPIE,41
jurkat,PPIH,72
jurkat,PPIL2,39
jurkat,PPIL4,81
jurkat,PPP1R10,33
jurkat,PPP1R11,92
jurkat,PPP1R15B,31
jurkat,PPP1R2,97
jurkat,PPP1R37,469
jurkat,PPP1R8,83
jurkat,PPP2CA,258
jurkat,PPP2CB,160
jurkat,PPP2R1A,439
jurkat,PPP2R3C,74
jurkat,PPP4R2,75
jurkat,PPP6C,1139
jurkat,PRKCA,24
jurkat,PRKRA,34
jurkat,PRMT1,50
jurkat,PRMT5,203
jurkat,PRORP,97
jurkat,PRPF18,50
jurkat,PRPF38A,42
jurkat,PRRC2A,100
jurkat,PSMB2,21
jurkat,PSMB4,26
jurkat,PSMB6,81
jurkat,PSMC1,12
jurkat,PSMC2,15
jurkat,PSMD12,10
jurkat,PSMD4,57
jurkat,PSMG1,36
jurkat,PTCD1,72
jurkat,PTCD3,30
jurkat,PTGR2,94
jurkat,PTPN23,51
jurkat,PUM1,99
jurkat,PWP1,61
jurkat,PYROXD1,142
jurkat,QARS,106
jurkat,RAB4B,151
jurkat,RABGGTA,168
jurkat,RAC3,289
jurkat,RACK1,31
jurkat,RAD17,29
jurkat,RAD21,19
jurkat,RAD9A,128
jurkat,RAE1,23
jurkat,RAMAC,92
jurkat,RARS2,186
jurkat,RBBP4,31
jurkat,RBM10,82
jurkat,RBM15,132
jurkat,RBM25,35
jurkat,RBM28,141
jurkat,RBM33,117
jurkat,RBM42,25
jurkat,RBM48,106
jurkat,RBM8A,11
jurkat,RCL1,197
jurkat,RELL2,42
jurkat,RFC2,40
jurkat,RFC4,32
jurkat,RINT1,122
jurkat,RIOK2,62
jurkat,RNASEH2C,226
jurkat,RNF113A,55
jurkat,RNF20,130
jurkat,RNF31,85
jurkat,RNMT,78
jurkat,RNPS1,24
jurkat,RPAP1,108
jurkat,RPIA,36
jurkat,RPL10,49
jurkat,RPL11,29
jurkat,RPL12,42
jurkat,RPL14,24
jurkat,RPL17,42
jurkat,RPL18,42
jurkat,RPL19,22
jurkat,RPL21,41
jurkat,RPL23A,51
jurkat,RPL26,129
jurkat,RPL29,80
jurkat,RPL32,85
jurkat,RPL34,41
jurkat,RPL35,62
jurkat,RPL35A,93
jurkat,RPL37A,58
jurkat,RPL38,27
jurkat,RPL39,156
jurkat,RPL4,37
jurkat,RPL5,51
jurkat,RPL7,115
jurkat,RPL9,41
jurkat,RPLP0,52
jurkat,RPLP1,22
jurkat,RPN2,43
jurkat,RPP21,183
jurkat,RPP30,136
jurkat,RPP38,43
jurkat,RPRD1B,96
jurkat,RPS10,54
jurkat,RPS11,59
jurkat,RPS15,92
jurkat,RPS15A,61
jurkat,RPS19BP1,98
jurkat,RPS2,102
jurkat,RPS20,88
jurkat,RPS24,72
jurkat,RPS25,66
jurkat,RPS27,60
jurkat,RPS27A,170
jurkat,RPS28,54
jurkat,RPS29,90
jurkat,RPS3,77
jurkat,RPS3A,104
jurkat,RPS4X,86
jurkat,RPS6,118
jurkat,RPS8,96
jurkat,RPSA,67
jurkat,RPTOR,53
jurkat,RPUSD3,77
jurkat,RRN3,79
jurkat,RRP1,110
jurkat,RRP12,123
jurkat,RRP15,78
jurkat,RRP7A,111
jurkat,RSL1D1,143
jurkat,RSL24D1,44
jurkat,RSRC2,33
jurkat,RTF1,33
jurkat,RUVBL1,13
jurkat,SAMD4B,110
jurkat,SAMM50,46
jurkat,SAP18,51
jurkat,SARS2,79
jurkat,SART3,170
jurkat,SBDS,81
jurkat,SBNO1,73
jurkat,SCAF1,76
jurkat,SCAP,111
jurkat,SDAD1,126
jurkat,SDE2,24
jurkat,SDHC,62
jurkat,SDHD,25
jurkat,SEC61A1,127
jurkat,SEC61G,97
jurkat,SEC62,54
jurkat,SENP6,52
jurkat,SET,57
jurkat,SETD1A,62
jurkat,SETD2,67
jurkat,SETDB1,125
jurkat,SF3A2,131
jurkat,SF3A3,26
jurkat,SF3B1,22
jurkat,SFSWAP,56
jurkat,SH3KBP1,37
jurkat,SHOC2,92
jurkat,SIRT7,235
jurkat,SKP2,69
jurkat,SLBP,79
jurkat,SLC25A3,59
jurkat,SLC25A42,46
jurkat,SLC35A4,37
jurkat,SLC35B1,64
jurkat,SLC35G2,344
jurkat,SLC39A9,24
jurkat,SLC7A6OS,53
jurkat,SLU7,44
jurkat,SMARCC1,22
jurkat,SMC1A,44
jurkat,SMG1,18
jurkat,SMG5,207
jurkat,SMG6,81
jurkat,SMG7,46
jurkat,SMG8,93
jurkat,SMNDC1,30
jurkat,SMUG1,52
jurkat,SNAPC1,72
jurkat,SNIP1,33
jurkat,SNRNP200,20
jurkat,SNRPA,69
jurkat,SNRPB,22
jurkat,SNRPC,22
jurkat,SNRPD1,17
jurkat,SNRPD2,26
jurkat,SNRPD3,19
jurkat,SNRPF,24
jurkat,SNTB2,68
jurkat,SOD1,49
jurkat,SP1,190
jurkat,SP2,27
jurkat,SPAG7,28
jurkat,SPCS3,108
jurkat,SPEN,61
jurkat,SRCAP,86
jurkat,SRP19,75
jurkat,SRP9,160
jurkat,SRRM1,63
jurkat,SRRM2,52
jurkat,SRSF1,33
jurkat,SRSF10,61
jurkat,SSBP1,38
jurkat,SSU72,223
jurkat,STAG2,56
jurkat,STAT5B,186
jurkat,STIL,153
jurkat,STRAP,89
jurkat,STX18,82
jurkat,SUGP1,66
jurkat,SUMO2,66
jurkat,SUPT16H,48
jurkat,SUPT20H,147
jurkat,SUPT5H,48
jurkat,SUPV3L1,71
jurkat,SURF6,128
jurkat,TADA2A,118
jurkat,TADA2B,85
jurkat,TADA3,92
jurkat,TAF10,117
jurkat,TAF11,75
jurkat,TAF13,198
jurkat,TAF1A,38
jurkat,TAF1C,87
jurkat,TAF6,92
jurkat,TAF7,95
jurkat,TARDBP,778
jurkat,TARS2,132
jurkat,TBCB,42
jurkat,TBL3,47
jurkat,TBPL1,101
jurkat,TCERG1,61
jurkat,TCOF1,31
jurkat,TELO2,96
jurkat,TERF1,63
jurkat,TERF2,90
jurkat,TFAM,2443
jurkat,TFAP4,26
jurkat,TFPT,22
jurkat,TGS1,147
jurkat,THAP11,165
jurkat,THOC6,97
jurkat,THOC7,83
jurkat,THRAP3,70
jurkat,THUMPD1,72
jurkat,TIMM10,128
jurkat,TIMM13,42
jurkat,TIMM22,68
jurkat,TIMM23B,244
jurkat,TIMM44,94
jurkat,TMEM214,448
jurkat,TMEM242,466
jurkat,TMEM258,100
jurkat,TMX2,199
jurkat,TNRC6A,152
jurkat,TOMM20,54
jurkat,TOMM22,92
jurkat,TOP1,100
jurkat,TOP3A,79
jurkat,TOPBP1,83
jurkat,TOX4,108
jurkat,TP53I13,108
jurkat,TP53RK,123
jurkat,TPI1,83
jurkat,TPP2,54
jurkat,TPR,25
jurkat,TPRKB,25
jurkat,TRA2B,89
jurkat,TRAPPC11,412
jurkat,TRAPPC4,97
jurkat,TRAPPC8,78
jurkat,TRMT10C,74
jurkat,TRMT112,214
jurkat,TRMT5,81
jurkat,TRNT1,638
jurkat,TSEN2,115
jurkat,TSEN54,77
jurkat,TSG101,30
jurkat,TSPYL5,89
jurkat,TSR1,304
jurkat,TTC1,166
jurkat,TTC4,104
jurkat,TTF2,24
jurkat,TTI1,119
jurkat,TTI2,35
jurkat,TUBA1C,49
jurkat,TUBGCP4,34
jurkat,TUBGCP5,136
jurkat,TUFM,113
jurkat,TWSG1,64
jurkat,TXNL4A,23
jurkat,TYK2,39
jurkat,U2AF1,30
jurkat,U2SURP,17
jurkat,UBA3,33
jurkat,UBA5,83
jurkat,UBA52,205
jurkat,UBAP1,35
jurkat,UBC,22
jurkat,UBE2N,59
jurkat,UBE3C,68
jurkat,UBE3D,116
jurkat,UBL5,21
jurkat,UBQLN4,69
jurkat,UBR4,31
jurkat,UBR5,85
jurkat,UFM1,58
jurkat,UHRF1,73
jurkat,UMPS,50
jurkat,UNC50,43
jurkat,UPF2,51
jurkat,UPF3A,48
jurkat,UQCRB,77
jurkat,UQCRC1,86
jurkat,UQCRFS1,65
jurkat,UQCRH,33
jurkat,UQCRQ,105
jurkat,URB1,134
jurkat,URM1,93
jurkat,USP10,83
jurkat,USP14,164
jurkat,USP19,60
jurkat,USP36,42
jurkat,USP8,26
jurkat,USPL1,32
jurkat,UTP11,35
jurkat,UTP20,97
jurkat,UTP23,172
jurkat,UTP25,41
jurkat,UXT,51
jurkat,VARS2,91
jurkat,VMP1,31
jurkat,VPS13D,110
jurkat,VPS18,97
jurkat,VPS37A,93
jurkat,WAC,47
jurkat,WARS,54
jurkat,WBP1,65
jurkat,WDHD1,58
jurkat,WDR1,27
jurkat,WDR12,101
jurkat,WDR18,189
jurkat,WDR25,56
jurkat,WDR26,76
jurkat,WDR33,35
jurkat,WDR44,98
jurkat,WDR61,58
jurkat,WDR82,34
jurkat,WNK1,74
jurkat,WTAP,232
jurkat,XPO5,129
jurkat,XRCC5,69
jurkat,XRN1,47
jurkat,XRN2,43
jurkat,YARS,77
jurkat,YARS2,128
jurkat,YBX3,27
jurkat,YEATS2,103
jurkat,YKT6,68
jurkat,YY1,49
jurkat,ZBTB14,40
jurkat,ZBTB17,392
jurkat,ZBTB44,26
jurkat,ZC3H13,92
jurkat,ZC3H18,46
jurkat,ZC3H3,88
jurkat,ZC3H4,88
jurkat,ZC3H8,40
jurkat,ZCRB1,107
jurkat,ZDHHC7,616
jurkat,ZFC3H1,86
jurkat,ZMAT2,60
jurkat,ZMAT5,36
jurkat,ZMYM4,53
jurkat,ZNF236,469
jurkat,ZNF292,154
jurkat,ZNF317,59
jurkat,ZNF559,68
jurkat,ZNF787,77
jurkat,ZNF84,28
jurkat,ZNHIT1,90
jurkat,ZNHIT2,35
jurkat,ZNHIT6,84
jurkat,ZRANB2,53
jurkat,ZWINT,24
